Study Cases\01- Load Flow\All calculations.ElmRes	Nine-bus System\G2.ElmSym
b:tnow in s	s:xspeed in p.u.
-0.100000	1.000000
-0.090000	1.000000
-0.080000	1.000000
-0.070000	1.000000
-0.060000	1.000000
-0.050000	1.000000
-0.040000	1.000000
-0.030000	1.000000
-0.020000	1.000000
-0.010000	1.000000
-0.000000	1.000000
0.010000	1.000000
0.020000	1.000000
0.030000	1.000000
0.040000	1.000000
0.050000	1.000000
0.060000	1.000000
0.070000	1.000000
0.080000	1.000000
0.090000	1.000000
0.100000	1.000000
0.110000	1.000000
0.120000	1.000000
0.130000	1.000000
0.140000	1.000000
0.150000	1.000000
0.160000	1.000000
0.170000	1.000000
0.180000	1.000000
0.190000	1.000000
0.200000	1.000000
0.210000	1.000000
0.220000	1.000000
0.230000	1.000000
0.240000	1.000000
0.250000	1.000000
0.260000	1.000000
0.270000	1.000000
0.280000	1.000000
0.290000	1.000000
0.300000	1.000000
0.310000	1.000000
0.320000	1.000000
0.330000	1.000000
0.340000	1.000000
0.350000	1.000000
0.360000	1.000000
0.370000	1.000000
0.380000	1.000000
0.390000	1.000000
0.400000	1.000000
0.410000	1.000000
0.420000	1.000000
0.430000	1.000000
0.440000	1.000000
0.450000	1.000000
0.460000	1.000000
0.470000	1.000000
0.480000	1.000000
0.490000	1.000000
0.500000	1.000000
0.510000	1.000000
0.520000	1.000000
0.530000	1.000000
0.540000	1.000000
0.550000	1.000000
0.560000	1.000000
0.570000	1.000000
0.580000	1.000000
0.590000	1.000000
0.600000	1.000000
0.610000	1.000000
0.620000	1.000000
0.630000	1.000000
0.640000	1.000000
0.650000	1.000000
0.660000	1.000000
0.670000	1.000000
0.680000	1.000000
0.690000	1.000000
0.700000	1.000000
0.710000	1.000000
0.720000	1.000000
0.730000	1.000000
0.740000	1.000000
0.750000	1.000000
0.760000	1.000000
0.770000	1.000000
0.780000	1.000000
0.790000	1.000000
0.800000	1.000000
0.810000	1.000000
0.820000	1.000000
0.830000	1.000000
0.840000	1.000000
0.850000	1.000000
0.860000	1.000000
0.870000	1.000000
0.880000	1.000000
0.890000	1.000000
0.900000	1.000000
0.910000	1.000000
0.920000	1.000000
0.930000	1.000000
0.940000	1.000000
0.950000	1.000000
0.960000	1.000000
0.970000	1.000000
0.980000	1.000000
0.990000	1.000000
1.000000	1.000000
1.005000	1.000459
1.011667	1.001018
1.021667	1.001893
1.031667	1.002767
1.041667	1.003641
1.051667	1.004511
1.061667	1.005377
1.071667	1.006237
1.081667	1.007092
1.091667	1.007940
1.101667	1.008780
1.111667	1.009612
1.121667	1.010437
1.131667	1.011253
1.141667	1.012062
1.151667	1.012864
1.161667	1.013658
1.171667	1.014446
1.181667	1.015228
1.191667	1.016005
1.201667	1.016779
1.211667	1.017550
1.221667	1.018320
1.231667	1.019090
1.241667	1.019862
1.251667	1.020638
1.261667	1.021419
1.271667	1.022209
1.281667	1.023008
1.291667	1.023819
1.301667	1.024645
1.311667	1.025488
1.321667	1.026351
1.331667	1.027236
1.341667	1.028147
1.351667	1.029084
1.361667	1.030052
1.371667	1.031053
1.381667	1.032089
1.391667	1.033161
1.400000	1.034087
1.405000	1.034619
1.411667	1.035368
1.421667	1.036558
1.431667	1.037851
1.441667	1.039249
1.451667	1.040752
1.461667	1.042352
1.471667	1.044042
1.481667	1.045806
1.491667	1.047626
1.501667	1.049478
1.511667	1.051332
1.521667	1.053157
1.531667	1.054918
1.541667	1.056580
1.551667	1.058112
1.561667	1.059486
1.571667	1.060685
1.581667	1.061697
1.591667	1.062523
1.601667	1.063170
1.611667	1.063655
1.621667	1.064003
1.631667	1.064243
1.641667	1.064408
1.651667	1.064535
1.661667	1.064661
1.671667	1.064825
1.681667	1.065066
1.691667	1.065423
1.701667	1.065929
1.711667	1.066614
1.721667	1.067499
1.731667	1.068597
1.741667	1.069905
1.751667	1.071408
1.761667	1.073072
1.771667	1.074848
1.781667	1.076674
1.791667	1.078477
1.801667	1.080183
1.811667	1.081724
1.821667	1.083048
1.831667	1.084123
1.841667	1.084942
1.851667	1.085521
1.861667	1.085897
1.871667	1.086125
1.881667	1.086269
1.891667	1.086401
1.901667	1.086595
1.911667	1.086921
1.921667	1.087445
1.931667	1.088215
1.941667	1.089260
1.951667	1.090579
1.961667	1.092139
1.971667	1.093876
1.981667	1.095695
1.991667	1.097485
2.001667	1.099136
2.011667	1.100554
2.021667	1.101681
2.031667	1.102500
2.041667	1.103037
2.051667	1.103353
2.061667	1.103536
2.071667	1.103688
2.081667	1.103920
2.091667	1.104335
2.101667	1.105015
2.111667	1.106014
2.121667	1.107337
2.131667	1.108939
2.141667	1.110721
2.151667	1.112544
2.161667	1.114258
2.171667	1.115730
2.181667	1.116874
2.191667	1.117668
2.201667	1.118152
2.211667	1.118417
2.221667	1.118592
2.231667	1.118818
2.241667	1.119233
2.251667	1.119950
2.261667	1.121028
2.271667	1.122461
2.281667	1.124163
2.291667	1.125982
2.301667	1.127732
2.311667	1.129241
2.321667	1.130393
2.331667	1.131159
2.341667	1.131593
2.351667	1.131822
2.361667	1.132010
2.371667	1.132335
2.381667	1.132949
2.391667	1.133948
2.401667	1.135337
2.411667	1.137021
2.421667	1.138817
2.431667	1.140503
2.441667	1.141889
2.451667	1.142865
2.461667	1.143440
2.471667	1.143722
2.481667	1.143893
2.491667	1.144160
2.501667	1.144714
2.511667	1.145674
2.521667	1.147050
2.531667	1.148723
2.541667	1.150473
2.551667	1.152046
2.561667	1.153247
2.571667	1.154001
2.581667	1.154372
2.591667	1.154534
2.601667	1.154720
2.611667	1.155162
2.621667	1.156017
2.631667	1.157318
2.641667	1.158941
2.651667	1.160640
2.661667	1.162133
2.671667	1.163214
2.681667	1.163828
2.691667	1.164080
2.701667	1.164194
2.711667	1.164439
2.721667	1.165046
2.731667	1.166126
2.741667	1.167616
2.751667	1.169284
2.761667	1.170821
2.771667	1.171968
2.781667	1.172626
2.791667	1.172889
2.801667	1.172994
2.811667	1.173238
2.821667	1.173872
2.831667	1.175004
2.841667	1.176538
2.851667	1.178195
2.861667	1.179637
2.871667	1.180624
2.881667	1.181120
2.891667	1.181296
2.901667	1.181453
2.911667	1.181905
2.921667	1.182853
2.931667	1.184285
2.941667	1.185956
2.951667	1.187502
2.961667	1.188620
2.971667	1.189218
2.981667	1.189449
2.991667	1.189629
3.001667	1.190101
3.011667	1.191087
3.021667	1.192563
3.031667	1.194252
3.041667	1.195758
3.051667	1.196785
3.061667	1.197289
3.071667	1.197488
3.081667	1.197747
3.091667	1.198408
3.101667	1.199616
3.111667	1.201226
3.121667	1.202857
3.131667	1.204114
3.141667	1.204815
3.151667	1.205083
3.161667	1.205267
3.171667	1.205760
3.181667	1.206798
3.191667	1.208307
3.201667	1.209929
3.211667	1.211226
3.221667	1.211960
3.231667	1.212223
3.241667	1.212370
3.251667	1.212823
3.261667	1.213832
3.271667	1.215315
3.281667	1.216883
3.291667	1.218083
3.301667	1.218705
3.311667	1.218893
3.321667	1.219053
3.331667	1.219611
3.341667	1.220754
3.351667	1.222295
3.361667	1.223769
3.371667	1.224759
3.381667	1.225178
3.391667	1.225309
3.401667	1.225621
3.411667	1.226477
3.421667	1.227886
3.431667	1.229468
3.441667	1.230718
3.451667	1.231373
3.461667	1.231590
3.471667	1.231823
3.481667	1.232522
3.491667	1.233826
3.501667	1.235432
3.511667	1.236807
3.521667	1.237597
3.531667	1.237882
3.541667	1.238103
3.551667	1.238752
3.561667	1.240014
3.571667	1.241609
3.581667	1.242986
3.591667	1.243767
3.601667	1.244036
3.611667	1.244258
3.621667	1.244932
3.631667	1.246219
3.641667	1.247781
3.651667	1.249045
3.661667	1.249684
3.671667	1.249870
3.681667	1.250124
3.691667	1.250919
3.701667	1.252291
3.711667	1.253784
3.721667	1.254834
3.731667	1.255256
3.741667	1.255384
3.751667	1.255792
3.761667	1.256833
3.771667	1.258319
3.781667	1.259668
3.791667	1.260421
3.801667	1.260648
3.811667	1.260871
3.821667	1.261623
3.831667	1.262988
3.841667	1.264492
3.851667	1.265536
3.861667	1.265950
3.871667	1.266135
3.881667	1.266699
3.891667	1.267920
3.901667	1.269465
3.911667	1.270690
3.921667	1.271260
3.931667	1.271457
3.941667	1.271905
3.951667	1.273001
3.961667	1.274519
3.971667	1.275809
3.981667	1.276446
3.991667	1.276638
4.001667	1.277012
4.011667	1.278023
4.021667	1.279493
4.031667	1.280767
4.041667	1.281387
4.051667	1.281551
4.061667	1.281903
4.071667	1.282904
4.081667	1.284351
4.091667	1.285569
4.101667	1.286127
4.111667	1.286279
4.121667	1.286694
4.131667	1.287784
4.141667	1.289250
4.151667	1.290388
4.161667	1.290857
4.171667	1.291036
4.181667	1.291613
4.191667	1.292869
4.201667	1.294339
4.211667	1.295325
4.221667	1.295673
4.231667	1.295929
4.241667	1.296745
4.251667	1.298157
4.261667	1.299519
4.271667	1.300242
4.281667	1.300463
4.291667	1.300876
4.301667	1.301961
4.311667	1.303417
4.321667	1.304499
4.331667	1.304897
4.341667	1.305087
4.351667	1.305780
4.361667	1.307100
4.371667	1.308412
4.381667	1.309090
4.391667	1.309265
4.401667	1.309661
4.411667	1.310746
4.421667	1.312156
4.431667	1.313126
4.441667	1.313442
4.451667	1.313690
4.461667	1.314550
4.471667	1.315958
4.481667	1.317161
4.491667	1.317677
4.501667	1.317891
4.511667	1.318568
4.521667	1.319903
4.531667	1.321242
4.541667	1.321929
4.551667	1.322150
4.561667	1.322680
4.571667	1.323899
4.581667	1.325280
4.591667	1.326072
4.601667	1.326297
4.611667	1.326708
4.621667	1.327811
4.631667	1.329182
4.641667	1.330025
4.651667	1.330254
4.661667	1.330598
4.671667	1.331633
4.681667	1.332996
4.691667	1.333875
4.701667	1.334127
4.711667	1.334471
4.721667	1.335510
4.731667	1.336893
4.741667	1.337789
4.751667	1.338065
4.761667	1.338458
4.771667	1.339553
4.781667	1.340945
4.791667	1.341805
4.801667	1.342072
4.811667	1.342528
4.821667	1.343686
4.831667	1.345038
4.841667	1.345784
4.851667	1.346005
4.861667	1.346532
4.871667	1.347746
4.881667	1.349000
4.891667	1.349578
4.901667	1.349764
4.911667	1.350412
4.921667	1.351689
4.931667	1.352810
4.941667	1.353229
4.951667	1.353462
4.961667	1.354312
4.971667	1.355655
4.981667	1.356613
4.991667	1.356914
5.001667	1.357304
5.011667	1.358404
5.021667	1.359737
5.031667	1.360467
5.041667	1.360709
5.051667	1.361341
5.061667	1.362630
5.071667	1.363792
5.081667	1.364244
5.091667	1.364521
5.101667	1.365431
5.111667	1.366755
5.121667	1.367592
5.131667	1.367822
5.141667	1.368296
5.151667	1.369465
5.161667	1.370636
5.171667	1.371115
5.181667	1.371344
5.191667	1.372182
5.201667	1.373490
5.211667	1.374352
5.221667	1.374610
5.231667	1.375123
5.241667	1.376337
5.251667	1.377520
5.261667	1.378002
5.271667	1.378308
5.281667	1.379262
5.291667	1.380581
5.301667	1.381349
5.311667	1.381593
5.321667	1.382232
5.331667	1.383493
5.341667	1.384505
5.351667	1.384822
5.361667	1.385200
5.371667	1.386278
5.381667	1.387458
5.391667	1.387957
5.401667	1.388200
5.411667	1.389067
5.421667	1.390337
5.431667	1.391074
5.441667	1.391312
5.451667	1.391992
5.461667	1.393271
5.471667	1.394228
5.481667	1.394538
5.491667	1.395058
5.501667	1.396265
5.511667	1.397368
5.521667	1.397767
5.531667	1.398149
5.541667	1.399223
5.551667	1.400398
5.561667	1.400881
5.571667	1.401159
5.581667	1.402091
5.591667	1.403297
5.601667	1.403878
5.611667	1.404114
5.621667	1.404941
5.631667	1.406180
5.641667	1.406874
5.651667	1.407123
5.661667	1.407892
5.671667	1.409159
5.681667	1.409949
5.691667	1.410222
5.701667	1.410946
5.711667	1.412210
5.721667	1.413045
5.731667	1.413317
5.741667	1.413986
5.751667	1.415217
5.761667	1.416048
5.771667	1.416296
5.781667	1.416921
5.791667	1.418122
5.801667	1.418938
5.811667	1.419180
5.821667	1.419810
5.831667	1.421017
5.841667	1.421833
5.851667	1.422097
5.861667	1.422782
5.871667	1.424018
5.881667	1.424819
5.891667	1.425103
5.901667	1.425854
5.911667	1.427093
5.921667	1.427830
5.931667	1.428107
5.941667	1.428908
5.951667	1.430111
5.961667	1.430737
5.971667	1.431001
5.981667	1.431863
5.991667	1.433013
6.001667	1.433530
6.011667	1.433830
6.021667	1.434793
6.031667	1.435899
6.041667	1.436336
6.051667	1.436737
6.061667	1.437828
6.071667	1.438863
6.081667	1.439232
6.091667	1.439768
6.101667	1.440944
6.111667	1.441839
6.121667	1.442137
6.131667	1.442811
6.141667	1.443995
6.151667	1.444686
6.161667	1.444949
6.171667	1.445777
6.181667	1.446902
6.191667	1.447397
6.201667	1.447732
6.211667	1.448739
6.221667	1.449762
6.231667	1.450125
6.241667	1.450648
6.251667	1.451807
6.261667	1.452657
6.271667	1.452964
6.281667	1.453727
6.291667	1.454906
6.301667	1.455510
6.311667	1.455847
6.321667	1.456820
6.331667	1.457855
6.341667	1.458218
6.351667	1.458705
6.361667	1.459811
6.371667	1.460595
6.381667	1.460863
6.391667	1.461624
6.401667	1.462750
6.411667	1.463278
6.421667	1.463661
6.431667	1.464709
6.441667	1.465682
6.451667	1.466029
6.461667	1.466682
6.471667	1.467844
6.481667	1.468504
6.491667	1.468831
6.501667	1.469769
6.511667	1.470782
6.521667	1.471137
6.531667	1.471663
6.541667	1.472764
6.551667	1.473457
6.561667	1.473746
6.571667	1.474620
6.581667	1.475665
6.591667	1.476070
6.601667	1.476601
6.611667	1.477731
6.621667	1.478481
6.631667	1.478814
6.641667	1.479716
6.651667	1.480764
6.661667	1.481164
6.671667	1.481705
6.681667	1.482805
6.691667	1.483474
6.701667	1.483778
6.711667	1.484678
6.721667	1.485641
6.731667	1.485980
6.741667	1.486582
6.751667	1.487686
6.761667	1.488288
6.771667	1.488670
6.781667	1.489687
6.791667	1.490597
6.801667	1.490938
6.811667	1.491696
6.821667	1.492782
6.831667	1.493257
6.841667	1.493726
6.851667	1.494786
6.861667	1.495495
6.871667	1.495798
6.881667	1.496676
6.891667	1.497619
6.901667	1.497958
6.911667	1.498602
6.921667	1.499684
6.931667	1.500217
6.941667	1.500668
6.951667	1.501732
6.961667	1.502509
6.971667	1.502857
6.981667	1.503756
6.991667	1.504719
7.001667	1.505073
7.011667	1.505733
7.021667	1.506778
7.031667	1.507247
7.041667	1.507699
7.051667	1.508731
7.061667	1.509398
7.071667	1.509743
7.081667	1.510689
7.091667	1.511566
7.101667	1.511913
7.111667	1.512716
7.121667	1.513737
7.131667	1.514154
7.141667	1.514775
7.151667	1.515837
7.161667	1.516360
7.171667	1.516809
7.181667	1.517826
7.191667	1.518481
7.201667	1.518824
7.211667	1.519756
7.221667	1.520566
7.231667	1.520895
7.241667	1.521730
7.251667	1.522681
7.261667	1.523060
7.271667	1.523783
7.281667	1.524814
7.291667	1.525264
7.301667	1.525852
7.311667	1.526893
7.321667	1.527412
7.331667	1.527873
7.341667	1.528877
7.351667	1.529484
7.361667	1.529864
7.371667	1.530827
7.381667	1.531550
7.391667	1.531909
7.401667	1.532834
7.411667	1.533669
7.421667	1.534036
7.431667	1.534902
7.441667	1.535809
7.451667	1.536178
7.461667	1.536951
7.471667	1.537889
7.481667	1.538253
7.491667	1.538932
7.501667	1.539885
7.511667	1.540275
7.521667	1.540892
7.531667	1.541879
7.541667	1.542327
7.551667	1.542917
7.561667	1.543938
7.571667	1.544445
7.581667	1.545006
7.591667	1.546030
7.601667	1.546564
7.611667	1.547075
7.621667	1.548070
7.631667	1.548607
7.641667	1.549070
7.651667	1.550041
7.661667	1.550595
7.671667	1.551044
7.681667	1.552023
7.691667	1.552618
7.701667	1.553082
7.711667	1.554080
7.721667	1.554703
7.731667	1.555174
7.741667	1.556166
7.751667	1.556780
7.761667	1.557231
7.771667	1.558195
7.781667	1.558778
7.791667	1.559212
7.801667	1.560161
7.811667	1.560733
7.821667	1.561187
7.831667	1.562155
