All calculations,Bus 16
"b:tnow in s","m:fehz in Hz"
-0.100000,60.000000
-0.090000,60.000000
-0.080000,60.000000
-0.070000,60.000000
-0.060000,60.000000
-0.050000,60.000000
-0.040000,60.000000
-0.030000,60.000000
-0.020000,60.000000
-0.010000,60.000000
-0.000000,60.000000
0.010000,60.000000
0.020000,60.000000
0.030000,60.000000
0.040000,60.000000
0.050000,60.000000
0.060000,60.000000
0.070000,60.000000
0.080000,60.000000
0.090000,60.000000
0.100000,60.000000
0.110000,60.000000
0.120000,60.000000
0.130000,60.000000
0.140000,60.000000
0.150000,60.000000
0.160000,60.000000
0.170000,60.000000
0.180000,60.000000
0.190000,60.000000
0.200000,60.000000
0.210000,60.000000
0.220000,60.000000
0.230000,60.000000
0.240000,60.000000
0.250000,60.000000
0.260000,60.000000
0.270000,60.000000
0.280000,60.000000
0.290000,60.000000
0.300000,60.000000
0.310000,60.000000
0.320000,60.000000
0.330000,60.000000
0.340000,60.000000
0.350000,60.000000
0.360000,60.000000
0.370000,60.000000
0.380000,60.000000
0.390000,60.000000
0.400000,60.000000
0.410000,60.000000
0.420000,60.000000
0.430000,60.000000
0.440000,60.000000
0.450000,60.000000
0.460000,60.000000
0.470000,60.000000
0.480000,60.000000
0.490000,60.000000
0.500000,60.000000
0.505000,60.000000
0.511667,60.000000
0.521667,59.995854
0.531667,59.994632
0.541667,59.993935
0.551667,59.994007
0.561667,59.994125
0.571667,59.994156
0.581667,59.994070
0.591667,59.993872
0.601667,59.993575
0.611667,59.993193
0.621667,59.992742
0.631667,59.992233
0.641667,59.991676
0.651667,59.991079
0.661667,59.990448
0.671667,59.989787
0.681667,59.989100
0.691667,59.988388
0.701667,59.987654
0.711667,59.986899
0.721667,59.986124
0.731667,59.985329
0.741667,59.984515
0.751667,59.983681
0.761667,59.982829
0.771667,59.981958
0.781667,59.981067
0.791667,59.980158
0.801667,59.979230
0.811667,59.978282
0.821667,59.977316
0.831667,59.976330
0.841667,59.975326
0.851667,59.974302
0.861667,59.973259
0.871667,59.972197
0.881667,59.971117
0.891667,59.970018
0.901667,59.968900
0.911667,59.967765
0.921667,59.966611
0.931667,59.965440
0.941667,59.964251
0.951667,59.963045
0.961667,59.961823
0.971667,59.960584
0.981667,59.959330
0.991667,59.958060
1.001667,59.956775
1.011667,59.955476
1.021667,59.954162
1.031667,59.952836
1.041667,59.951496
1.051667,59.950144
1.061667,59.948781
1.071667,59.947406
1.081667,59.946021
1.091667,59.944626
1.101667,59.943222
1.111667,59.941809
1.121667,59.940388
1.131667,59.938960
1.141667,59.937525
1.151667,59.936085
1.161667,59.934639
1.171667,59.933188
1.181667,59.931734
1.191667,59.930277
1.201667,59.928817
1.211667,59.927356
1.221667,59.925893
1.231667,59.924430
1.241667,59.922967
1.251667,59.921505
1.261667,59.920045
1.271667,59.918588
1.281667,59.917133
1.291667,59.915682
1.301667,59.914235
1.311667,59.912793
1.321667,59.911356
1.331667,59.909926
1.341667,59.908503
1.351667,59.907086
1.361667,59.905678
1.371667,59.904278
1.381667,59.902887
1.391667,59.901506
1.401667,59.900135
1.411667,59.898774
1.421667,59.897424
1.431667,59.896086
1.441667,59.894760
1.451667,59.893446
1.461667,59.892144
1.471667,59.890856
1.481667,59.889581
1.491667,59.888320
1.501667,59.887073
1.511667,59.885840
1.521667,59.884622
1.531667,59.883419
1.541667,59.882231
1.551667,59.881058
1.561667,59.879901
1.571667,59.878759
1.581667,59.877633
1.591667,59.876523
1.601667,59.875428
1.611667,59.874350
1.621667,59.873288
1.631667,59.872242
1.641667,59.871212
1.651667,59.870197
1.661667,59.869199
1.671667,59.868217
1.681667,59.867250
1.691667,59.866299
1.701667,59.865363
1.711667,59.864443
1.721667,59.863538
1.731667,59.862647
1.741667,59.861772
1.751667,59.860910
1.761667,59.860063
1.771667,59.859230
1.781667,59.858410
1.791667,59.857604
